company,company_name,calendar_quarter,analysis_role,period_start,period_end,currency,ppe_capex_usd,finance_lease_principal_usd,total_capex_usd,status,missing_reason,derivation,ppe_source_tags,ppe_source_accessions,ppe_filing_dates,ppe_source_urls,finance_lease_source_tags,finance_lease_source_accessions,finance_lease_filing_dates,finance_lease_source_urls,source_tags,source_accessions,filing_dates,filed,source_urls,notes
MSFT,Microsoft,2013Q1,yoy_base_only,2013-01-01,2013-03-31,USD,930000000.0,,930000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-13-160748""]","[""2013-04-18""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-13-160748""]","[""2013-04-18""]",2013-04-18,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2013Q2,yoy_base_only,2013-04-01,2013-06-30,USD,1794000000.0,,1794000000.0,complete,,PPE:fy_difference,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-13-310206"",""0001193125-13-160748""]","[""2013-07-30"",""2013-04-18""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-13-310206"",""0001193125-13-160748""]","[""2013-07-30"",""2013-04-18""]",2013-07-30,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2013Q3,yoy_base_only,2013-07-01,2013-09-30,USD,1231000000.0,,1231000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-13-409855""]","[""2013-10-24""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-13-409855""]","[""2013-10-24""]",2013-10-24,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2013Q4,yoy_base_only,2013-10-01,2013-12-31,USD,1732000000.0,,1732000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-14-018634""]","[""2014-01-23""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-14-018634""]","[""2014-01-23""]",2014-01-23,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2014Q1,study,2014-01-01,2014-03-31,USD,1192000000.0,,1192000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-14-157088""]","[""2014-04-24""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-14-157088""]","[""2014-04-24""]",2014-04-24,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2014Q2,study,2014-04-01,2014-06-30,USD,1330000000.0,,1330000000.0,complete,,PPE:fy_difference,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-14-289961"",""0001193125-14-157088""]","[""2014-07-31"",""2014-04-24""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-14-289961"",""0001193125-14-157088""]","[""2014-07-31"",""2014-04-24""]",2014-07-31,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2014Q3,study,2014-07-01,2014-09-30,USD,1282000000.0,,1282000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-14-380252""]","[""2014-10-23""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-14-380252""]","[""2014-10-23""]",2014-10-23,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2014Q4,study,2014-10-01,2014-12-31,USD,1490000000.0,,1490000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-15-020351""]","[""2015-01-26""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-15-020351""]","[""2015-01-26""]",2015-01-26,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2015Q1,study,2015-01-01,2015-03-31,USD,1391000000.0,,1391000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-15-144151""]","[""2015-04-23""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-15-144151""]","[""2015-04-23""]",2015-04-23,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2015Q2,study,2015-04-01,2015-06-30,USD,1781000000.0,,1781000000.0,complete,,PPE:fy_difference,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-15-272806"",""0001193125-15-144151""]","[""2015-07-31"",""2015-04-23""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-15-272806"",""0001193125-15-144151""]","[""2015-07-31"",""2015-04-23""]",2015-07-31,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2015Q3,study,2015-07-01,2015-09-30,USD,1356000000.0,,1356000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-15-350718""]","[""2015-10-22""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-15-350718""]","[""2015-10-22""]",2015-10-22,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2015Q4,study,2015-10-01,2015-12-31,USD,2024000000.0,,2024000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-16-441821""]","[""2016-01-28""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-16-441821""]","[""2016-01-28""]",2016-01-28,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2016Q1,study,2016-01-01,2016-03-31,USD,2308000000.0,,2308000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-16-550254""]","[""2016-04-21""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-16-550254""]","[""2016-04-21""]",2016-04-21,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2016Q2,study,2016-04-01,2016-06-30,USD,2655000000.0,,2655000000.0,complete,,PPE:fy_difference,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-16-662209"",""0001193125-16-550254""]","[""2016-07-28"",""2016-04-21""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-16-662209"",""0001193125-16-550254""]","[""2016-07-28"",""2016-04-21""]",2016-07-28,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2016Q3,study,2016-07-01,2016-09-30,USD,2163000000.0,,2163000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-16-742796""]","[""2016-10-20""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001193125-16-742796""]","[""2016-10-20""]",2016-10-20,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2016Q4,study,2016-10-01,2016-12-31,USD,1988000000.0,,1988000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001564590-17-000654""]","[""2017-01-26""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001564590-17-000654""]","[""2017-01-26""]",2017-01-26,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
MSFT,Microsoft,2017Q1,study,2017-01-01,2017-03-31,USD,1695000000.0,,1695000000.0,complete,,PPE:reported_quarter,"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001564590-17-007547""]","[""2017-04-27""]","[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",[],[],[],[],"[""PaymentsToAcquirePropertyPlantAndEquipment""]","[""0001564590-17-007547""]","[""2017-04-27""]",2017-04-27,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000789019.json""]",Total CAPEX equals PPE CAPEX; no interpolation. Microsoft fiscal periods are assigned to the calendar quarter containing the period midpoint.
