row_type,layer_id,layer_name,is_control,member,calendar_quarter,analysis_role,base_quarter,period_start,period_end,original_currency,original_value,excluded_source_value,fixed_twd_per_usd,fixed_usd_per_eur,fixed_usd_value,layer_fixed_usd_total,layer_yoy_pct,status,missing_reason,missing_members,source,source_tags,source_accessions,filing_dates,filed,filing_metadata_status,source_urls,derivation,notes
member,chip_design,晶片設計,False,NVDA,2013Q1,yoy_base_only,,2013-01-28,2013-04-28,USD,954739000.0,,30.2796721311,1.370504918,954739000.0,,,complete,,,SEC companyfacts,"[""Revenues""]","[""0001045810-13-000054""]","[""2013-05-22""]",2013-05-22,SEC_filing_date,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json""]",reported_quarter,Standalone quarter from SEC filing facts; no interpolation.
member,chip_design,晶片設計,False,AMD,2013Q1,yoy_base_only,,2012-12-30,2013-03-30,USD,1088000000.0,,30.2796721311,1.370504918,1088000000.0,,,complete,,,SEC companyfacts,"[""SalesRevenueNet""]","[""0001193125-13-201635""]","[""2013-05-06""]",2013-05-06,SEC_filing_date,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json""]",reported_quarter,Standalone quarter from SEC filing facts; no interpolation.
member,chip_design,晶片設計,False,AVGO,2013Q1,yoy_base_only,,2013-02-04,2013-05-05,USD,562000000.0,,30.2796721311,1.370504918,562000000.0,,,complete,,,SEC companyfacts,"[""SalesRevenueNet""]","[""0001441634-13-000005""]","[""2013-06-07""]",2013-06-07,SEC_filing_date,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0001441634.json""]",reported_quarter,Standalone quarter from SEC filing facts; no interpolation.
layer_aggregate,chip_design,晶片設計,False,,2013Q1,yoy_base_only,,,,,,,30.2796721311,1.370504918,,2604739000.0,,complete,,[],capex_transmission.build_fixed_member_revenue_aggregate,,,,,,,literal sum of every fixed member after fixed-FX conversion,Aggregate is present only when every frozen member is present.
layer_yoy,chip_design,晶片設計,False,,2013Q1,yoy_base_only,2012Q1,,,,,,30.2796721311,1.370504918,,,,base_quarter_outside_panel,base_quarter_outside_panel,"{""base"":{""AMD"":""base_quarter_outside_panel"",""AVGO"":""base_quarter_outside_panel"",""NVDA"":""base_quarter_outside_panel""},""current"":{}}",capex_transmission.yoy_from_complete_levels,,,,,,,100 * (complete level(t) / complete level(t-4) - 1),YoY is blank unless both fixed-member levels are complete.
member,chip_design,晶片設計,False,NVDA,2013Q2,yoy_base_only,,2013-04-29,2013-07-28,USD,977238000.0,,30.2796721311,1.370504918,977238000.0,,,complete,,,SEC companyfacts,"[""Revenues""]","[""0001045810-13-000075""]","[""2013-08-21""]",2013-08-21,SEC_filing_date,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json""]",reported_quarter,Standalone quarter from SEC filing facts; no interpolation.
member,chip_design,晶片設計,False,AMD,2013Q2,yoy_base_only,,2013-03-31,2013-06-29,USD,1161000000.0,,30.2796721311,1.370504918,1161000000.0,,,complete,,,SEC companyfacts,"[""SalesRevenueNet""]","[""0001193125-13-315281""]","[""2013-08-01""]",2013-08-01,SEC_filing_date,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json""]",reported_quarter,Standalone quarter from SEC filing facts; no interpolation.
member,chip_design,晶片設計,False,AVGO,2013Q2,yoy_base_only,,2013-05-06,2013-08-04,USD,644000000.0,,30.2796721311,1.370504918,644000000.0,,,complete,,,SEC companyfacts,"[""SalesRevenueNet""]","[""0001441634-13-000007""]","[""2013-09-13""]",2013-09-13,SEC_filing_date,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0001441634.json""]",reported_quarter,Standalone quarter from SEC filing facts; no interpolation.
layer_aggregate,chip_design,晶片設計,False,,2013Q2,yoy_base_only,,,,,,,30.2796721311,1.370504918,,2782238000.0,,complete,,[],capex_transmission.build_fixed_member_revenue_aggregate,,,,,,,literal sum of every fixed member after fixed-FX conversion,Aggregate is present only when every frozen member is present.
layer_yoy,chip_design,晶片設計,False,,2013Q2,yoy_base_only,2012Q2,,,,,,30.2796721311,1.370504918,,,,base_quarter_outside_panel,base_quarter_outside_panel,"{""base"":{""AMD"":""base_quarter_outside_panel"",""AVGO"":""base_quarter_outside_panel"",""NVDA"":""base_quarter_outside_panel""},""current"":{}}",capex_transmission.yoy_from_complete_levels,,,,,,,100 * (complete level(t) / complete level(t-4) - 1),YoY is blank unless both fixed-member levels are complete.
member,chip_design,晶片設計,False,NVDA,2013Q3,yoy_base_only,,2013-07-29,2013-10-27,USD,1053967000.0,,30.2796721311,1.370504918,1053967000.0,,,complete,,,SEC companyfacts,"[""Revenues""]","[""0001045810-13-000109""]","[""2013-11-19""]",2013-11-19,SEC_filing_date,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0001045810.json""]",reported_quarter,Standalone quarter from SEC filing facts; no interpolation.
member,chip_design,晶片設計,False,AMD,2013Q3,yoy_base_only,,2013-06-30,2013-09-28,USD,1461000000.0,,30.2796721311,1.370504918,1461000000.0,,,complete,,,SEC companyfacts,"[""SalesRevenueNet""]","[""0001193125-13-418892""]","[""2013-10-30""]",2013-10-30,SEC_filing_date,"[""https://data.sec.gov/api/xbrl/companyfacts/CIK0000002488.json""]",reported_quarter,Standalone quarter from SEC filing facts; no interpolation.
