period,stock,signal_date,entry,exit,exit_reason,return,hold_days,false_signal
樣本內 2010–2017,2603長榮,2010-03-14,2010-03-14@41.517946;2010-04-11@40.158416;2010-05-09@39.949257,2011-07-10@47.269802(normal_exit);2011-08-07@37.543936(normal_exit_batch);2011-09-04@34.197401(normal_exit_batch),normal_exit,-0.025,539,True
樣本內 2010–2017,2603長榮,2012-06-24,2012-06-24@32.419554;2012-07-22@34.406559;2012-08-19@36.184406,2015-06-14@32.628713(normal_exit);2015-07-12@35.243193(normal_exit_batch);2015-08-09@33.256188(normal_exit_batch),normal_exit,-0.0201,1141,True
樣本內 2010–2017,2603長榮,2017-02-19,2017-02-19@29.282178;2017-03-19@30.746287;2017-04-16@28.131807,2017-12-31@34.197401(period_end),period_end,0.1608,315,False
樣本內 2010–2017,2609陽明,2010-03-14,2010-03-14@26.16748;2010-04-11@26.16748;2010-05-09@25.95122,2011-07-10@44.873984(normal_exit);2011-08-07@36.007317(normal_exit_batch);2011-09-04@35.682927(normal_exit_batch),normal_exit,0.4832,539,False
樣本內 2010–2017,2609陽明,2012-06-24,2012-06-24@28.113821;2012-07-22@28.005691;2012-08-19@27.681301,2015-06-14@23.031707(normal_exit);2015-07-12@24.329268(normal_exit_batch);2015-08-09@23.572358(normal_exit_batch),normal_exit,-0.1568,1141,False
樣本內 2010–2017,2609陽明,2017-02-19,2017-02-19@12.97561;2017-03-19@15.289593;2017-04-16@14.273171,2017-12-31@11.5(period_end),period_end,-0.1884,315,False
樣本內 2010–2017,2615萬海,2010-03-14,2010-03-14@17.2;2010-04-11@18.2;2010-05-09@17.55,2011-07-10@21.65(normal_exit);2011-08-07@18.65(normal_exit_batch);2011-09-04@15.9(normal_exit_batch),normal_exit,0.0579,539,False
樣本內 2010–2017,2615萬海,2012-06-24,2012-06-24@13.7;2012-07-22@15.25;2012-08-19@16.55,2015-06-14@25.2(normal_exit);2015-07-12@25.5(normal_exit_batch);2015-08-09@26.45(normal_exit_batch),normal_exit,0.6992,1141,False
樣本內 2010–2017,2615萬海,2017-02-19,2017-02-19@18.4;2017-03-19@18.1;2017-04-16@17.45,2017-12-31@19.25(period_end),period_end,0.0668,315,True
樣本外 2018–2026,2603長榮,2018-04-15,2018-04-15@31.478342;2018-05-13@31.269183;2018-06-10@30.955446,2018-06-10@30.955446(wrong_exit),wrong_exit,-0.0127,56,True
樣本外 2018–2026,2603長榮,2018-08-12,2018-08-12@29.07302;2018-09-09@25.831064;2018-10-07@26.040223,2020-01-12@27.504332(normal_exit);2020-02-09@24.366955(normal_exit_batch);2020-03-08@24.471535(normal_exit_batch),normal_exit,-0.0577,574,True
樣本外 2018–2026,2603長榮,2020-10-11,2020-10-11@34.824876;2020-11-08@42.563738;2020-12-06@50.616337,2022-11-13@150.0(normal_exit);2022-12-11@154.5(normal_exit_batch);2023-01-15@152.5(normal_exit_batch),normal_exit,2.6402,826,False
樣本外 2018–2026,2603長榮,2024-03-10,2024-03-10@179.5;2024-04-07@165.0;2024-05-05@180.0,2025-06-15@239.0(normal_exit);2025-07-13@196.5(normal_exit_batch);2025-08-10@197.5(normal_exit_batch),normal_exit,0.2042,518,False
樣本外 2018–2026,2603長榮,2026-07-05,2026-07-05@195.0,2026-07-26@206.0(period_end),period_end,0.0523,21,True
樣本外 2018–2026,2609陽明,2018-04-15,2018-04-15@10.6;2018-05-13@10.3;2018-06-10@9.6,2018-06-10@9.6(wrong_exit),wrong_exit,-0.0577,56,True
樣本外 2018–2026,2609陽明,2018-08-12,2018-08-12@9.08;2018-09-09@8.6;2018-10-07@8.45,2020-01-12@7.23(normal_exit);2020-02-09@6.58(normal_exit_batch);2020-03-08@6.81(normal_exit_batch),normal_exit,-0.2132,574,True
樣本外 2018–2026,2609陽明,2020-10-11,2020-10-11@10.05;2020-11-08@12.9;2020-12-06@12.85,2022-11-13@65.2(normal_exit);2022-12-11@62.8(normal_exit_batch);2023-01-15@61.9(normal_exit_batch),normal_exit,4.3565,826,False
樣本外 2018–2026,2609陽明,2024-03-10,2024-03-10@47.55;2024-04-07@43.8;2024-05-05@50.4,2025-06-15@74.1(normal_exit);2025-07-13@62.5(normal_exit_batch);2025-08-10@61.0(normal_exit_batch),normal_exit,0.3932,518,False
樣本外 2018–2026,2609陽明,2026-07-05,2026-07-05@52.4,2026-07-26@51.5(period_end),period_end,-0.021,21,True
樣本外 2018–2026,2615萬海,2018-04-15,2018-04-15@17.25;2018-05-13@16.95;2018-06-10@16.7,2018-06-10@16.7(wrong_exit),wrong_exit,-0.0193,56,True
樣本外 2018–2026,2615萬海,2018-08-12,2018-08-12@16.8;2018-09-09@16.8;2018-10-07@16.3,2020-01-12@18.4(normal_exit);2020-02-09@17.1(normal_exit_batch);2020-03-08@16.9(normal_exit_batch),normal_exit,0.0463,574,True
樣本外 2018–2026,2615萬海,2020-10-11,2020-10-11@23.8;2020-11-08@29.35;2020-12-06@38.0,2022-11-13@73.5(normal_exit);2022-12-11@70.1(normal_exit_batch);2023-01-15@74.5(normal_exit_batch),normal_exit,1.472,826,True
樣本外 2018–2026,2615萬海,2024-03-10,2024-03-10@48.65;2024-04-07@43.65;2024-05-05@49.4,2025-06-15@101.0(normal_exit);2025-07-13@89.0(normal_exit_batch);2025-08-10@89.0(normal_exit_batch),normal_exit,0.9673,518,False
樣本外 2018–2026,2615萬海,2026-07-05,2026-07-05@82.8,2026-07-26@87.0(period_end),period_end,0.0467,21,True
