period,side,stock,signal_date,entry,exit,exit_reason,return,hold_days,false_signal
樣本內 2010–2017 (定參),left,2603長榮,2011-12-18,2011-12-18@29.909653;2012-03-25@42.563738;2012-06-24@32.419554;2012-09-23@35.034035,2016-05-22@23.007426(profit_exit);2016-08-21@25.09901(profit_exit_batch);2016-11-20@25.203589(profit_exit_batch),profit_exit,-0.2921,1799,False
樣本內 2010–2017 (定參),left,2609陽明,2015-12-13,2015-12-13@16.954797,2015-12-20@17.538699(wrong_exit),wrong_exit,0.0305,7,True
樣本內 2010–2017 (定參),left,2609陽明,2016-01-17,2016-01-17@16.457398,2016-01-24@16.716911(wrong_exit),wrong_exit,0.0119,7,True
樣本內 2010–2017 (定參),left,2615萬海,2011-08-14,2011-08-14@15.5,2011-08-21@15.75(wrong_exit),wrong_exit,0.0122,7,True
樣本內 2010–2017 (定參),left,2615萬海,2011-11-20,2011-11-20@13.9,2011-11-27@12.85(wrong_exit),wrong_exit,-0.0791,7,True
樣本內 2010–2017 (定參),left,2615萬海,2012-05-20,2012-05-20@13.4;2012-08-19@16.55;2012-11-18@13.95;2013-02-24@16.5,2017-12-31@19.25(period_end),period_end,0.2816,2051,False
樣本內 2010–2017 (定參),right,2603長榮,2013-11-17,2013-11-17@35.347772;2014-02-16@36.811881;2014-05-18@36.393564,2016-05-22@23.007426(profit_exit);2016-08-21@25.09901(profit_exit_batch);2016-11-20@25.203589(profit_exit_batch),profit_exit,-0.3271,1099,False
樣本內 2010–2017 (定參),right,2603長榮,2017-09-03,2017-09-03@46.851485;2017-12-03@35.347772,2017-12-31@34.197401(period_end),period_end,-0.1546,119,False
樣本內 2010–2017 (定參),right,2609陽明,2010-05-16,2010-05-16@28.654472;2010-08-15@48.009756;2010-11-14@48.550407,2011-06-05@51.253659(profit_exit);2011-09-04@35.682927(profit_exit_batch);2011-12-04@25.302439(profit_exit_batch),profit_exit,-0.0518,567,False
樣本內 2010–2017 (定參),right,2609陽明,2013-03-03,2013-03-03@31.141463;2013-06-02@27.681301,2013-07-07@26.49187(profit_exit);2013-10-06@29.843902(profit_exit_batch);2014-01-05@29.411382(profit_exit_batch),profit_exit,-0.0286,308,False
樣本內 2010–2017 (定參),right,2609陽明,2014-03-02,2014-03-02@28.113821;2014-06-01@27.465041;2014-08-31@29.086992,2016-09-11@15.440976(profit_exit);2016-12-11@10.85626(profit_exit_batch);2017-03-19@15.289593(profit_exit_batch),profit_exit,-0.5104,1113,False
樣本內 2010–2017 (定參),right,2609陽明,2017-09-03,2017-09-03@16.45;2017-12-03@12.0,2017-12-31@11.5(period_end),period_end,-0.1745,119,False
樣本內 2010–2017 (定參),right,2615萬海,2010-05-16,2010-05-16@18.95;2010-08-15@21.7;2010-11-14@22.0,2011-04-03@20.25(profit_exit);2011-07-03@21.8(profit_exit_batch);2011-10-02@14.5(profit_exit_batch),profit_exit,-0.0968,504,False
樣本內 2010–2017 (定參),right,2615萬海,2013-11-17,2013-11-17@15.3;2014-02-16@14.8;2014-05-18@15.0,2017-12-31@19.25(period_end),period_end,0.2758,1505,False
樣本外 2018–2026 (驗證),left,2603長榮,2020-03-22,2020-03-22@20.079208,2020-04-05@19.033416(wrong_exit),wrong_exit,-0.0557,14,True
樣本外 2018–2026 (驗證),left,2603長榮,2020-06-14,2020-06-14@22.693688,2020-06-21@22.589109(wrong_exit),wrong_exit,-0.0084,7,True
