date,stock_id,name,kind,level,message
2026-07-25,8046,南電,consensus,yellow,共識EPS(今年FY)【上修 +1.9%】 15.0 → 15.3
2026-07-25,7769,鴻勁,consensus,yellow,共識EPS(今年FY)【上修 +1.8%】 122.8 → 125.0
2026-07-25,6669,緯穎,consensus,yellow,共識EPS(今年FY)【上修 +1.6%】 345.6 → 351.1
2026-07-26,8454,富邦媒,consensus,yellow,共識EPS(今年FY)【下修 -2.6%】 10.6 → 10.3
2026-07-26,8464,億豐,consensus,yellow,共識EPS(今年FY)【上修 +0.7%】 25.5 → 25.7
2026-07-29,5871,中租-KY,consensus,yellow,共識EPS(今年FY)【下修 -2.2%】 12.1 → 11.8
2026-07-29,7769,鴻勁,consensus,yellow,共識EPS(今年FY)【上修 +0.6%】 125.0 → 125.8
2026-07-29,1717,長興,consensus,yellow,共識EPS(今年FY)【上修 +10.9%】 2.2 → 2.5
2026-07-29,1590,亞德客-KY,consensus,yellow,共識EPS(今年FY)【上修 +5.4%】 55.6 → 58.6
2026-07-29,2409,友達,consensus,yellow,共識EPS(今年FY)【下修 -1.5%】 0.3 → 0.3
2026-07-29,2383,台光電,consensus,yellow,共識EPS(今年FY)【上修 +1.9%】 98.2 → 100.1
2026-07-29,2449,京元電子,consensus,yellow,共識EPS(今年FY)【下修 -4.8%】 9.8 → 9.3
2026-07-29,2454,聯發科,consensus,yellow,共識EPS(今年FY)【上修 +0.8%】 66.7 → 67.2
2026-07-29,2303,聯電,consensus,yellow,共識EPS(今年FY)【上修 +55.1%】 4.8 → 7.4
2026-07-29,2357,華碩,consensus,yellow,共識EPS(今年FY)【上修 +1.2%】 53.9 → 54.6
2026-07-29,2337,旺宏,consensus,yellow,共識EPS(今年FY)【上修 +30.1%】 15.2 → 19.8
2026-07-29,1301,台塑,consensus,yellow,共識EPS(今年FY)【上修 +22.1%】 2.7 → 3.3
2026-07-29,1326,台化,consensus,yellow,共識EPS(今年FY)【上修 +6.8%】 3.0 → 3.2
2026-07-29,3653,健策,consensus,yellow,共識EPS(今年FY)【上修 +0.8%】 57.9 → 58.3
2026-07-29,3481,群創,consensus,yellow,共識EPS(今年FY)【上修 +16.7%】 2.1 → 2.4
2026-07-29,2610,華航,consensus,yellow,共識EPS(今年FY)【上修 +5.3%】 1.9 → 2.0
2026-07-29,3034,聯詠,consensus,yellow,共識EPS(今年FY)【上修 +2.7%】 29.0 → 29.7
2026-07-29,3035,智原,consensus,yellow,共識EPS(今年FY)【上修 +5.7%】 3.5 → 3.7
2026-07-29,3037,欣興,consensus,yellow,共識EPS(今年FY)【上修 +1.5%】 16.3 → 16.6
2026-07-29,3045,台灣大,consensus,yellow,共識EPS(今年FY)【下修 -1.0%】 5.0 → 4.9
2026-07-29,6505,台塑化,consensus,yellow,共識EPS(今年FY)【上修 +6.0%】 5.4 → 5.7
2026-07-29,6213,聯茂,consensus,yellow,共識EPS(今年FY)【上修 +3.8%】 7.9 → 8.2
2026-07-29,6669,緯穎,consensus,yellow,共識EPS(今年FY)【上修 +1.0%】 351.1 → 354.6
2026-07-29,2383,台光電,consensus,yellow,共識EPS(今年FY)【上修 +15.6%】 100.1 → 115.6
2026-07-30,6505,台塑化,consensus,yellow,共識EPS(今年FY)【下修 -5.7%】 5.7 → 5.4
2026-07-30,6213,聯茂,consensus,yellow,共識EPS(今年FY)【下修 -3.7%】 8.2 → 7.9
2026-07-30,6669,緯穎,consensus,yellow,共識EPS(今年FY)【下修 -1.0%】 354.6 → 351.1
2026-07-31,6505,台塑化,consensus,yellow,共識EPS(今年FY)【上修 +6.0%】 5.4 → 5.7
2026-07-31,6213,聯茂,consensus,yellow,共識EPS(今年FY)【上修 +3.8%】 7.9 → 8.2
2026-07-31,6669,緯穎,consensus,yellow,共識EPS(今年FY)【上修 +1.0%】 351.1 → 354.6
2026-07-31,2059,川湖,consensus,yellow,共識EPS(今年FY)【上修 +0.5%】 218.9 → 220.0
2026-07-31,2002,中鋼,consensus,yellow,共識EPS(今年FY)【下修 -12.9%】 0.2 → 0.2
2026-07-31,2379,瑞昱,consensus,yellow,共識EPS(今年FY)【下修 -1.9%】 32.4 → 31.8
2026-07-31,2383,台光電,consensus,yellow,共識EPS(今年FY)【下修 -0.7%】 115.6 → 114.8
2026-07-31,2303,聯電,consensus,yellow,共識EPS(今年FY)【下修 -8.9%】 7.4 → 6.7
2026-07-31,2327,國巨*,consensus,yellow,共識EPS(今年FY)【上修 +1.3%】 19.1 → 19.3
2026-07-31,2360,致茂,consensus,yellow,共識EPS(今年FY)【上修 +3.9%】 42.6 → 44.2
2026-07-31,2344,華邦電,consensus,yellow,共識EPS(今年FY)【上修 +2.6%】 22.2 → 22.8
2026-07-31,3711,日月光投控,consensus,yellow,共識EPS(今年FY)【上修 +9.9%】 17.2 → 18.9
2026-07-31,3563,牧德,consensus,yellow,共識EPS(今年FY)【下修 -1.8%】 20.6 → 20.2
2026-07-31,4938,和碩,consensus,yellow,共識EPS(今年FY)【上修 +5.4%】 5.4 → 5.7
2026-07-31,2912,統一超,consensus,yellow,共識EPS(今年FY)【下修 -0.6%】 11.6 → 11.6
2026-07-31,2884,玉山金,consensus,yellow,共識EPS(今年FY)【上修 +4.7%】 2.3 → 2.4
2026-07-31,2610,華航,consensus,yellow,共識EPS(今年FY)【上修 +2.0%】 2.0 → 2.0
